year,donor_type,total_oda
2002,Bilateral (DAC),7296.495267
2002,Bilateral (Non-DAC),94.853571
2002,MDB,700.7397559999999
2002,UN Agency,280.40077
2002,Vertical Fund,187.271001
2003,Bilateral (DAC),7282.999565
2003,Bilateral (Non-DAC),51.081443
2003,MDB,620.544987
2003,UN Agency,231.93929
2003,Vertical Fund,223.038347
2004,Bilateral (DAC),8193.158574
2004,Bilateral (Non-DAC),28.11112
2004,MDB,765.002722
2004,UN Agency,193.420047
2004,Vertical Fund,265.318019
2005,Bilateral (DAC),7383.8935200000005
2005,Bilateral (Non-DAC),35.495774
2005,MDB,661.274491
2005,UN Agency,214.931812
2005,Vertical Fund,365.466688
2006,Bilateral (DAC),7152.818367
2006,Bilateral (Non-DAC),21.207669
2006,MDB,5844.574143
2006,UN Agency,206.62799
2006,Vertical Fund,281.268409
2007,Bilateral (DAC),6728.793237
2007,Bilateral (Non-DAC),23.701265
2007,MDB,299.995752
2007,UN Agency,221.738755
2007,Vertical Fund,326.551111
2008,Bilateral (DAC),7312.479853
2008,Bilateral (Non-DAC),26.435359
2008,MDB,336.466889
2008,UN Agency,209.793115
2008,Vertical Fund,351.913549
2009,Bilateral (DAC),7311.978548
2009,Bilateral (Non-DAC),28.783579
2009,MDB,482.112779
2009,Other,87.730255
2009,UN Agency,179.445905
2009,Vertical Fund,341.148363
2010,Bilateral (DAC),9165.317349
2010,Bilateral (Non-DAC),27.110029
2010,MDB,542.979535
2010,UN Agency,188.089659
2010,Vertical Fund,270.485342
2011,Bilateral (DAC),8092.737074
2011,Bilateral (Non-DAC),26.496516
2011,MDB,436.773369
2011,Other,62.334463
2011,UN Agency,179.241826
2011,Vertical Fund,396.510453
2012,Bilateral (DAC),7255.640873
2012,Bilateral (Non-DAC),27.840454
2012,MDB,1412.626251
2012,Other,55.381997999999996
2012,UN Agency,171.301613
2012,Vertical Fund,362.896542
2013,Bilateral (DAC),6548.848892
2013,Bilateral (Non-DAC),26.695231999999997
2013,MDB,1780.766006
2013,Other,50.260856
2013,UN Agency,170.092431
2013,Vertical Fund,426.108674
2014,Bilateral (DAC),6898.278918
2014,Bilateral (Non-DAC),25.556298
2014,MDB,1665.146487
2014,Other,56.262628
2014,UN Agency,163.479789
2014,Vertical Fund,405.589847
2015,Bilateral (DAC),7290.890729
2015,Bilateral (Non-DAC),26.460124999999998
2015,MDB,2020.55941
2015,Other,60.619427
2015,UN Agency,180.800119
2015,Vertical Fund,450.724259
2016,Bilateral (DAC),9738.738695
2016,Bilateral (Non-DAC),51.211287
2016,MDB,1431.0774350000002
2016,Other,134.989608
2016,UN Agency,213.396966
2016,Vertical Fund,443.448412
2017,Bilateral (DAC),7184.8112
2017,Bilateral (Non-DAC),96.549322
2017,MDB,1776.746748
2017,Other,348.264942
2017,UN Agency,275.732086
2017,Vertical Fund,455.588553
2018,Bilateral (DAC),7841.1018460000005
2018,Bilateral (Non-DAC),166.93586499999998
2018,MDB,1572.178807
2018,Other,383.024046
2018,UN Agency,272.958699
2018,Vertical Fund,427.303131
2019,Bilateral (DAC),6996.188371
2019,Bilateral (Non-DAC),54.41862
2019,MDB,1743.592575
2019,Other,439.23343700000004
2019,UN Agency,344.313805
2019,Vertical Fund,353.327866
2020,Bilateral (DAC),8544.906198
2020,Bilateral (Non-DAC),116.052735
2020,MDB,2765.492064
2020,Other,380.068968
2020,UN Agency,293.136404
2020,Vertical Fund,706.787193
2021,Bilateral (DAC),8750.767996
2021,Bilateral (Non-DAC),95.349181
2021,MDB,2109.730621
2021,Other,656.85482
2021,UN Agency,311.483145
2021,Vertical Fund,585.028785
2022,Bilateral (DAC),8910.492073
2022,Bilateral (Non-DAC),99.423488
2022,MDB,3887.953383
2022,Other,511.511655
2022,UN Agency,357.20243800000003
2022,Vertical Fund,628.743881
2023,Bilateral (DAC),7902.287615
2023,Bilateral (Non-DAC),133.915252
2023,MDB,2539.61847
2023,Other,507.54491
2023,UN Agency,359.311937
2023,Vertical Fund,875.947366
2024,Bilateral (DAC),8801.197799
2024,Bilateral (Non-DAC),100.067548
2024,MDB,1891.308825
2024,Other,279.980517
2024,UN Agency,289.144135
2024,Vertical Fund,543.2167059999999
