donor_code,donor_name,donor_type,country_code,country_name,sector,recent_avg,active_years,active_share,sector_share,disburse_pctile_within_cs,disbursement_strong,persistence_strong,embeddedness_strong,n_strong,priority,cs_context
USA,United States,Bilateral (DAC),AIA,Anguilla,Agriculture & Natural Resources,0.0,1,0.043478260869565216,0.9963319047067454,,False,False,False,0,Peripheral / not assessed,Low-activity space
CAN,Canada,Bilateral (DAC),AIA,Anguilla,Business & Other Services,0.0,1,0.043478260869565216,0.3538694196513972,,False,False,False,0,Peripheral / not assessed,Low-activity space
CAN,Canada,Bilateral (DAC),AIA,Anguilla,Communications,0.0,1,0.043478260869565216,0.006200058849430982,,False,False,False,0,Peripheral / not assessed,Low-activity space
CAN,Canada,Bilateral (DAC),AIA,Anguilla,Education,0.0,1,0.043478260869565216,0.009696939342653246,,False,False,False,0,Peripheral / not assessed,Low-activity space
DEU,Germany,Bilateral (DAC),AIA,Anguilla,Education,0.0,1,0.043478260869565216,1.0,,False,False,False,0,Peripheral / not assessed,Low-activity space
GBR,United Kingdom,Bilateral (DAC),AIA,Anguilla,Education,0.0,3,0.13043478260869565,0.03391335019757384,,False,False,False,0,Peripheral / not assessed,Low-activity space
GBR,United Kingdom,Bilateral (DAC),AIA,Anguilla,Energy,0.0,2,0.08695652173913043,0.051225765747657616,,False,False,False,0,Peripheral / not assessed,Low-activity space
CAN,Canada,Bilateral (DAC),AIA,Anguilla,Environmental Protection,0.0,1,0.043478260869565216,0.0052171481398779656,,False,False,False,0,Peripheral / not assessed,Low-activity space
CAN,Canada,Bilateral (DAC),AIA,Anguilla,Finance & Banking,0.0,1,0.043478260869565216,0.13657728648473427,,False,False,False,0,Peripheral / not assessed,Low-activity space
CAN,Canada,Bilateral (DAC),AIA,Anguilla,Governance & Civil Society,0.0,1,0.043478260869565216,0.30629528919347765,,False,False,False,0,Peripheral / not assessed,Low-activity space
GBR,United Kingdom,Bilateral (DAC),AIA,Anguilla,Governance & Civil Society,0.0,4,0.17391304347826086,0.5265230628367695,,False,False,False,0,Peripheral / not assessed,Low-activity space
USA,United States,Bilateral (DAC),AIA,Anguilla,Governance & Civil Society,0.0,1,0.043478260869565216,0.0036680952932545657,,False,False,False,0,Peripheral / not assessed,Low-activity space
